attendance,home_initial,vis_initial,score_starter_home,score_bench_home,score_starter_vis,score_bench_vis,recovery_time,perform,def_perf_home,off_perf_home,def_perf_vis,off_perf_vis,class,frac_season,day_hour,ref1,ref2,ref3,home_temp,travel_miles
17194,BRK,NOP,69.72072268009768,60.7706481018981,74.0251025290499,61.53118548649395,4.0,19.0,119.66666666666669,122.0,125.33333333333331,117.33333333333331,1,0.07386363636363638,19.5,Tyler Ford,Jenna Schroeder,Sean Wright,42.79,1168.9
14197,MEM,HOU,70.62665357568093,38.5421805909094,80.16228235652221,56.66075865083831,3.0,29.333333333333336,118.0,113.0,117.33333333333331,107.66666666666669,0,0.07386363636363638,20.0,Brian Forte,Jacyn Goble,James Williams,49.5,484.0
16271,MIN,MIL,57.22760981483291,70.77941577319145,84.68414327306655,51.25511793448649,4.0,47.33333333333333,,,104.33333333333331,120.66666666666669,1,0.07386363636363638,20.0,Kane Fitzgerald,Brett Nansel,Scott Wall,52.2,298.0
14285,PHO,PHI,60.72136403299685,65.95362818270652,71.6531428062678,54.779824277643826,4.0,17.666666666666668,109.0,113.0,115.0,114.33333333333331,1,0.07386363636363638,21.0,Courtney Kirkland,J.T. Orr,Tom Washington,72.0,2082.4
18064,GSW,POR,37.44122807017544,75.72646500723533,82.15550087829175,31.63126813346228,4.0,15.0,112.66666666666669,108.0,113.0,110.0,1,0.07386363636363638,22.5,Derrick Collins,Ken Mauer,Derek Richardson,55.38,534.4
13341,CHO,IND,60.02316534040672,61.70908108764164,54.85968469300105,44.43887561949853,5.0,12.333333333333332,122.0,115.66666666666669,108.66666666666669,110.66666666666669,1,0.07954545454545454,19.0,Scott Foster,Mark Lindsay,Justin Van Duyne,56.5,759.1
17709,CLE,BOS,73.76398305084746,33.480313662945235,84.81301248427059,33.392642361190575,6.0,17.333333333333332,120.33333333333331,113.66666666666669,105.0,110.0,1,0.07954545454545454,19.0,Nick Buchert,Simone Jelks,Ed Malloy,35.52,550.9
14025,ATL,SAS,75.4929783407616,63.322332944934786,69.35806130708377,55.117406031240996,7.0,21.33333333333333,103.66666666666669,102.66666666666669,107.0,108.0,0,0.07954545454545454,19.5,Curtis Blair,Pat Fraher,C.J. Washington,61.92,882.7
21193,CHI,LAL,62.07626373626374,59.06066579956372,76.94574314574317,51.644444118090476,4.0,15.666666666666668,110.66666666666669,102.66666666666669,106.0,113.33333333333331,1,0.07954545454545454,20.0,Kevin Cutler,John Goble,Suyash Mehta,26.33,1745.9
18203,OKC,ORL,71.29610190575707,52.51661057252179,76.74211602076922,47.00595238095239,6.0,22.0,100.0,105.33333333333331,103.0,96.0,0,0.07954545454545454,20.0,Kevin Scott,Scott Twardoski,Leon Wood,50.96,1059.1
